"comparison","status","pattern","n_groups","taxon_label","taxon_id","Ctrl","BL15","BL30","Kingdom","Phylum","Class","Order","Family","Genus","Species","Hydrolysate","D07","D30","D90","Feed"
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00001","ASV00001",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_global","shared_partial","BL15&BL30",2,"ASV00002","ASV00002",FALSE,TRUE,TRUE,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00003","ASV00003",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00004","ASV00004",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00005","ASV00005",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_global","shared_partial","BL15&BL30",2,"ASV00007","ASV00007",FALSE,TRUE,TRUE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00008","ASV00008",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00010","ASV00010",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00011","ASV00011",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00013","ASV00013",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_global","common_all","Ctrl&BL15&BL30",3,"ASV00014","ASV00014",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_global","shared_partial","Ctrl&BL15",2,"ASV00032","ASV00032",TRUE,TRUE,FALSE,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","acnes",,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00001","ASV00001",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_global","exclusive","Hydrolysate",1,"ASV00002","ASV00002",FALSE,,,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00003","ASV00003",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00004","ASV00004",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00005","ASV00005",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_global","exclusive","Hydrolysate",1,"ASV00007","ASV00007",FALSE,,,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00008","ASV00008",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00010","ASV00010",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00011","ASV00011",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00013","ASV00013",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_global","common_all","Ctrl&Hydrolysate",2,"ASV00014","ASV00014",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_global","exclusive","Ctrl",1,"ASV00032","ASV00032",TRUE,,,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","acnes",FALSE,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"ASV00001","ASV00001",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"ASV00003","ASV00003",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"ASV00004","ASV00004",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"ASV00005","ASV00005",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00006","ASV00006",TRUE,FALSE,FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","acidovorans",,,,,
"diet_D07","shared_partial","BL15&BL30",2,"ASV00007","ASV00007",FALSE,TRUE,TRUE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"ASV00008","ASV00008",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"ASV00010","ASV00010",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"ASV00011","ASV00011",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00012","ASV00012",TRUE,FALSE,FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"ASV00013","ASV00013",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D07","shared_partial","BL15&BL30",2,"ASV00014","ASV00014",FALSE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00017","ASV00017",TRUE,FALSE,FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00019","ASV00019",TRUE,FALSE,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","dorei",,,,,
"diet_D07","exclusive","BL30",1,"ASV00023","ASV00023",FALSE,FALSE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00025","ASV00025",TRUE,FALSE,FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,,,,
"diet_D07","exclusive","BL15",1,"ASV00027","ASV00027",FALSE,TRUE,FALSE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00031","ASV00031",TRUE,FALSE,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron",,,,,
"diet_D07","common_all","Ctrl&BL15&BL30",3,"ASV00032","ASV00032",TRUE,TRUE,TRUE,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","acnes",,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00037","ASV00037",TRUE,FALSE,FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",,,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00054","ASV00054",TRUE,FALSE,FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00059","ASV00059",TRUE,FALSE,FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",,,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00068","ASV00068",TRUE,FALSE,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae",,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00080","ASV00080",TRUE,FALSE,FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum",,,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00084","ASV00084",TRUE,FALSE,FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","vancouverensis",,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00098","ASV00098",TRUE,FALSE,FALSE,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Priestia",,,,,,
"diet_D07","exclusive","Ctrl",1,"ASV00138","ASV00138",TRUE,FALSE,FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes",,,,,,
"hydro_D07","common_all","Ctrl&Hydrolysate",2,"ASV00001","ASV00001",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_D07","common_all","Ctrl&Hydrolysate",2,"ASV00003","ASV00003",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_D07","common_all","Ctrl&Hydrolysate",2,"ASV00004","ASV00004",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_D07","common_all","Ctrl&Hydrolysate",2,"ASV00005","ASV00005",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00006","ASV00006",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","acidovorans",FALSE,,,,
"hydro_D07","exclusive","Hydrolysate",1,"ASV00007","ASV00007",FALSE,,,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,TRUE,,,,
"hydro_D07","common_all","Ctrl&Hydrolysate",2,"ASV00008","ASV00008",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D07","common_all","Ctrl&Hydrolysate",2,"ASV00010","ASV00010",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D07","common_all","Ctrl&Hydrolysate",2,"ASV00011","ASV00011",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00012","ASV00012",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella",,FALSE,,,,
"hydro_D07","common_all","Ctrl&Hydrolysate",2,"ASV00013","ASV00013",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D07","exclusive","Hydrolysate",1,"ASV00014","ASV00014",FALSE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00017","ASV00017",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,FALSE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00019","ASV00019",TRUE,,,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","dorei",FALSE,,,,
"hydro_D07","exclusive","Hydrolysate",1,"ASV00023","ASV00023",FALSE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00025","ASV00025",TRUE,,,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,FALSE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00031","ASV00031",TRUE,,,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron",FALSE,,,,
"hydro_D07","common_all","Ctrl&Hydrolysate",2,"ASV00032","ASV00032",TRUE,,,"Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","acnes",TRUE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00037","ASV00037",TRUE,,,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",,FALSE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00054","ASV00054",TRUE,,,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,FALSE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00059","ASV00059",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",,FALSE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00068","ASV00068",TRUE,,,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae",FALSE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00080","ASV00080",TRUE,,,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum",,FALSE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00084","ASV00084",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","vancouverensis",FALSE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00098","ASV00098",TRUE,,,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Priestia",,FALSE,,,,
"hydro_D07","exclusive","Ctrl",1,"ASV00138","ASV00138",TRUE,,,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes",,FALSE,,,,
"diet_D30","common_all","Ctrl&BL15&BL30",3,"ASV00001","ASV00001",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D30","shared_partial","BL15&BL30",2,"ASV00002","ASV00002",FALSE,TRUE,TRUE,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,,,,
"diet_D30","common_all","Ctrl&BL15&BL30",3,"ASV00003","ASV00003",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D30","common_all","Ctrl&BL15&BL30",3,"ASV00004","ASV00004",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D30","common_all","Ctrl&BL15&BL30",3,"ASV00005","ASV00005",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D30","exclusive","BL15",1,"ASV00007","ASV00007",FALSE,TRUE,FALSE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,,,,
"diet_D30","common_all","Ctrl&BL15&BL30",3,"ASV00008","ASV00008",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D30","shared_partial","BL15&BL30",2,"ASV00009","ASV00009",FALSE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,,,,,
"diet_D30","common_all","Ctrl&BL15&BL30",3,"ASV00010","ASV00010",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D30","common_all","Ctrl&BL15&BL30",3,"ASV00011","ASV00011",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D30","common_all","Ctrl&BL15&BL30",3,"ASV00013","ASV00013",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D30","common_all","Ctrl&BL15&BL30",3,"ASV00014","ASV00014",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D30","common_all","Ctrl&BL15&BL30",3,"ASV00021","ASV00021",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"diet_D30","exclusive","BL15",1,"ASV00027","ASV00027",FALSE,TRUE,FALSE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,,,,
"diet_D30","exclusive","BL30",1,"ASV00044","ASV00044",FALSE,FALSE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
"hydro_D30","common_all","Ctrl&Hydrolysate",2,"ASV00001","ASV00001",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_D30","exclusive","Hydrolysate",1,"ASV00002","ASV00002",FALSE,,,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,TRUE,,,,
"hydro_D30","common_all","Ctrl&Hydrolysate",2,"ASV00003","ASV00003",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_D30","common_all","Ctrl&Hydrolysate",2,"ASV00004","ASV00004",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_D30","common_all","Ctrl&Hydrolysate",2,"ASV00005","ASV00005",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",TRUE,,,,
"hydro_D30","exclusive","Hydrolysate",1,"ASV00007","ASV00007",FALSE,,,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,TRUE,,,,
"hydro_D30","common_all","Ctrl&Hydrolysate",2,"ASV00008","ASV00008",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D30","exclusive","Hydrolysate",1,"ASV00009","ASV00009",FALSE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,TRUE,,,,
"hydro_D30","common_all","Ctrl&Hydrolysate",2,"ASV00010","ASV00010",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D30","common_all","Ctrl&Hydrolysate",2,"ASV00011","ASV00011",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D30","common_all","Ctrl&Hydrolysate",2,"ASV00013","ASV00013",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D30","common_all","Ctrl&Hydrolysate",2,"ASV00014","ASV00014",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"hydro_D30","common_all","Ctrl&Hydrolysate",2,"ASV00021","ASV00021",TRUE,,,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,TRUE,,,,
"diet_D90","common_all","Ctrl&BL15&BL30",3,"ASV00001","ASV00001",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D90","common_all","Ctrl&BL15&BL30",3,"ASV00002","ASV00002",TRUE,TRUE,TRUE,"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae",,,,,,,
"diet_D90","common_all","Ctrl&BL15&BL30",3,"ASV00003","ASV00003",TRUE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D90","shared_partial","Ctrl&BL15",2,"ASV00004","ASV00004",TRUE,TRUE,FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D90","shared_partial","BL15&BL30",2,"ASV00005","ASV00005",FALSE,TRUE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","scophthalmi",,,,,
"diet_D90","shared_partial","Ctrl&BL15",2,"ASV00007","ASV00007",TRUE,TRUE,FALSE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",,,,,,
"diet_D90","shared_partial","Ctrl&BL30",2,"ASV00008","ASV00008",TRUE,FALSE,TRUE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,,,,
