"group","n","mean_distance_to_centroid","median_distance_to_centroid","sd_distance_to_centroid","distance","taxonomic_level","comparison","stratum","group_variable"
"D30",44,15.4540273457025,14.726738255744,4.61051532593748,"aitchison","ASV","timepoint_global",,"timepoint"
"D07",45,25.5347917132711,24.971167240146,6.35611628458071,"aitchison","ASV","timepoint_global",,"timepoint"
"D90",44,14.1250179228238,13.0999311348662,3.32301307392069,"aitchison","ASV","timepoint_global",,"timepoint"
"Ctrl_D30",15,13.377624494109,12.8685032636041,5.21157689748362,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"Ctrl_D07",15,27.6057028831043,28.5038511847676,3.9038271410276,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"Ctrl_D90",15,14.0226879137986,13.2476458941203,3.59713677132293,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL15_D30",15,16.8075490438938,17.3157782475088,3.46161723672077,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL15_D07",15,23.0750869770266,19.8482196709756,7.99827529258208,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL15_D90",15,14.6893896093424,14.0535271399736,2.49130206150284,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL30_D30",14,15.1223452614893,15.6656651543402,3.87836739723201,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL30_D07",15,25.2029899165303,24.9089545370816,6.38484968810793,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"BL30_D90",14,13.6716435297024,12.5584882655007,3.98234809282796,"aitchison","ASV","diet_time_interaction",,"diet_time_beta"
"Ctrl_D30",15,13.377624494109,12.8685032636041,5.21157689748362,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Ctrl_D07",15,27.6057028831043,28.5038511847676,3.9038271410276,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Ctrl_D90",15,14.0226879137986,13.2476458941203,3.59713677132293,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D30",29,16.1390010201531,16.0821066778761,3.68671394497933,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D07",30,23.9996512440013,21.8588324598502,7.30481019251102,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D90",29,14.1624343477908,13.270292006804,3.30124155153299,"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta"
"Ctrl",15,12.9854708168656,12.811599855297,4.6946438567886,"aitchison","ASV","diet_within_timepoint","D30","diet_code"
"BL15",15,16.4860260551689,17.1904448467894,3.34934125369637,"aitchison","ASV","diet_within_timepoint","D30","diet_code"
"BL30",14,14.72682513178,15.5460837178622,3.476232539196,"aitchison","ASV","diet_within_timepoint","D30","diet_code"
"Ctrl",15,12.9854708168656,12.811599855297,4.6946438567886,"aitchison","ASV","hydro_within_timepoint","D30","hydro_group"
"Hydrolysate",29,15.7933589790275,15.8549128722652,3.48000527773163,"aitchison","ASV","hydro_within_timepoint","D30","hydro_group"
"D30",15,13.3688381816973,12.8679065376036,5.19969270928446,"aitchison","ASV","time_within_diet","Ctrl","timepoint"
"D07",15,27.5061551732304,28.3806535479971,3.95473176848643,"aitchison","ASV","time_within_diet","Ctrl","timepoint"
"D90",15,14.0188805654523,13.2476200472863,3.59450274630935,"aitchison","ASV","time_within_diet","Ctrl","timepoint"
"D30",15,16.7858430567004,17.3148424064879,3.45308444343683,"aitchison","ASV","time_within_diet","BL15","timepoint"
"D07",15,22.9289323172842,19.8053066964293,7.87064028173294,"aitchison","ASV","time_within_diet","BL15","timepoint"
"D90",15,14.6686590820774,14.0303117187804,2.4736118971645,"aitchison","ASV","time_within_diet","BL15","timepoint"
"D30",14,15.0918227597489,15.6562225955367,3.84560338868956,"aitchison","ASV","time_within_diet","BL30","timepoint"
"D07",15,24.9238322297893,24.88006160955,6.36495113150261,"aitchison","ASV","time_within_diet","BL30","timepoint"
"D90",14,13.6339674057281,12.5345387195001,3.97407796821688,"aitchison","ASV","time_within_diet","BL30","timepoint"
"Ctrl",45,20.6584463476478,16.5528647900342,8.89418948980234,"aitchison","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Feed",3,10.6735909363001,9.342314751238,3.53746997128713,"aitchison","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Hydrolysate",88,19.640541316745,17.7212769200477,7.65032549944057,"aitchison","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"D30",44,9.74493567323392,9.31812578857784,3.60929076280041,"aitchison","Genus","timepoint_global",,"timepoint"
"D07",45,16.6575908982803,16.6174917269293,4.39066666563535,"aitchison","Genus","timepoint_global",,"timepoint"
"D90",44,7.46737729850472,6.30782190772123,3.28409082728094,"aitchison","Genus","timepoint_global",,"timepoint"
"Ctrl_D30",15,8.17394915553646,5.82345225088603,4.7678747868199,"aitchison","Genus","diet_time_interaction",,"diet_time_beta"
"Ctrl_D07",15,18.579967327771,18.1006678571236,2.98309040346175,"aitchison","Genus","diet_time_interaction",,"diet_time_beta"
"Ctrl_D90",15,7.77088968188229,6.71769710004449,3.40075977741267,"aitchison","Genus","diet_time_interaction",,"diet_time_beta"
"BL15_D30",15,10.3018592307508,9.42128594424597,2.53674884310558,"aitchison","Genus","diet_time_interaction",,"diet_time_beta"
"BL15_D07",15,15.3575162600201,14.3528497965938,5.23839101748153,"aitchison","Genus","diet_time_interaction",,"diet_time_beta"
"BL15_D90",15,7.21534447862134,7.18610975014082,2.11394856325219,"aitchison","Genus","diet_time_interaction",,"diet_time_beta"
"BL30_D30",14,9.37981255831384,9.04797990361089,3.31051184335291,"aitchison","Genus","diet_time_interaction",,"diet_time_beta"
"BL30_D07",15,15.680048832511,15.6241634383105,4.21621009577848,"aitchison","Genus","diet_time_interaction",,"diet_time_beta"
"BL30_D90",14,7.51163456759141,6.13598108575489,3.89737328915338,"aitchison","Genus","diet_time_interaction",,"diet_time_beta"
"Ctrl_D30",15,8.17394915553646,5.82345225088603,4.7678747868199,"aitchison","Genus","hydro_time_interaction",,"hydro_time_beta"
"Ctrl_D07",15,18.579967327771,18.1006678571236,2.98309040346175,"aitchison","Genus","hydro_time_interaction",,"hydro_time_beta"
"Ctrl_D90",15,7.77088968188229,6.71769710004449,3.40075977741267,"aitchison","Genus","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D30",29,9.96187691851405,9.76300160510095,2.85445817144466,"aitchison","Genus","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D07",30,15.4109247956139,14.8648522106558,4.83572101585333,"aitchison","Genus","hydro_time_interaction",,"hydro_time_beta"
"Hydrolysate_D90",29,7.31054113120253,6.57146736953658,3.18605221003769,"aitchison","Genus","hydro_time_interaction",,"hydro_time_beta"
"Ctrl",15,7.38262564031683,5.57088225327044,3.82594221648867,"aitchison","Genus","diet_within_timepoint","D30","diet_code"
"BL15",15,9.92533660930754,9.08066923400575,2.44983276582536,"aitchison","Genus","diet_within_timepoint","D30","diet_code"
"BL30",14,8.79838754098588,8.6481525651501,2.99205427907629,"aitchison","Genus","diet_within_timepoint","D30","diet_code"
"Ctrl",15,7.38262564031683,5.57088225327044,3.82594221648867,"aitchison","Genus","hydro_within_timepoint","D30","hydro_group"
"Hydrolysate",29,9.51498564974511,9.30371924413963,2.64878419693131,"aitchison","Genus","hydro_within_timepoint","D30","hydro_group"
"D30",15,8.16823396208794,5.82062596449976,4.76061955308551,"aitchison","Genus","time_within_diet","Ctrl","timepoint"
"D07",15,18.5135622968202,18.0251120618316,3.02078333271105,"aitchison","Genus","time_within_diet","Ctrl","timepoint"
"D90",15,7.76787757369463,6.71744519810386,3.39647215834028,"aitchison","Genus","time_within_diet","Ctrl","timepoint"
"D30",15,10.2865752881197,9.38311133881718,2.5321331819001,"aitchison","Genus","time_within_diet","BL15","timepoint"
"D07",15,15.1480562523313,14.2843700848485,5.10389852418116,"aitchison","Genus","time_within_diet","BL15","timepoint"
"D90",15,7.20842050930679,7.18599431980387,2.11017403312884,"aitchison","Genus","time_within_diet","BL15","timepoint"
"D30",14,9.35683865571001,9.03161663979471,3.29564704241209,"aitchison","Genus","time_within_diet","BL30","timepoint"
"D07",15,15.3251381343083,15.5295015400662,4.19033020383313,"aitchison","Genus","time_within_diet","BL30","timepoint"
"D90",14,7.49352589184984,6.12976181210899,3.88249739170457,"aitchison","Genus","time_within_diet","BL30","timepoint"
"Ctrl",45,13.4855976512068,10.5121551677561,6.96533401425548,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Feed",3,6.10189153581798,6.19516824958908,1.26069724938112,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Hydrolysate",88,12.4510410015771,10.5403934302117,5.75493155544096,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
