"method","level","comparison","n_significant"
"DESeq2","asv","global_Hydrolysate_vs_Ctrl",14
"DESeq2","asv","global_BL15_vs_Ctrl",7
"DESeq2","asv","global_BL30_vs_Ctrl",7
"DESeq2","asv","global_BL30_vs_BL15",6
"DESeq2","asv","t7_Hydrolysate_vs_Ctrl",7
"DESeq2","asv","t7_BL15_vs_Ctrl",7
"DESeq2","asv","t7_BL30_vs_Ctrl",12
"DESeq2","asv","t7_BL30_vs_BL15",0
"DESeq2","asv","t30_Hydrolysate_vs_Ctrl",5
"DESeq2","asv","t30_BL15_vs_Ctrl",0
"DESeq2","asv","t30_BL30_vs_Ctrl",4
"DESeq2","asv","t30_BL30_vs_BL15",4
"DESeq2","asv","t90_Hydrolysate_vs_Ctrl",0
"DESeq2","asv","t90_BL15_vs_Ctrl",1
"DESeq2","asv","t90_BL30_vs_Ctrl",1
"DESeq2","asv","t90_BL30_vs_BL15",2
"DESeq2","asv","Ctrl_D30_vs_D07",93
"DESeq2","asv","Ctrl_D90_vs_D07",64
"DESeq2","asv","Ctrl_D90_vs_D30",5
"DESeq2","asv","BL15_D30_vs_D07",14
"DESeq2","asv","BL15_D90_vs_D07",10
"DESeq2","asv","BL15_D90_vs_D30",6
"DESeq2","asv","BL30_D30_vs_D07",32
"DESeq2","asv","BL30_D90_vs_D07",25
"DESeq2","asv","BL30_D90_vs_D30",13
"DESeq2","asv","Hydrolysate_D30_vs_D07",44
"DESeq2","asv","Hydrolysate_D90_vs_D07",35
"DESeq2","asv","Hydrolysate_D90_vs_D30",20
"DESeq2","genus","global_Hydrolysate_vs_Ctrl",1
"DESeq2","genus","global_BL15_vs_Ctrl",1
"DESeq2","genus","global_BL30_vs_Ctrl",1
"DESeq2","genus","global_BL30_vs_BL15",0
"DESeq2","genus","t7_Hydrolysate_vs_Ctrl",3
"DESeq2","genus","t7_BL15_vs_Ctrl",2
"DESeq2","genus","t7_BL30_vs_Ctrl",3
"DESeq2","genus","t7_BL30_vs_BL15",0
"DESeq2","genus","t30_Hydrolysate_vs_Ctrl",2
"DESeq2","genus","t30_BL15_vs_Ctrl",1
"DESeq2","genus","t30_BL30_vs_Ctrl",2
"DESeq2","genus","t30_BL30_vs_BL15",0
"DESeq2","genus","t90_Hydrolysate_vs_Ctrl",0
"DESeq2","genus","t90_BL15_vs_Ctrl",1
"DESeq2","genus","t90_BL30_vs_Ctrl",0
"DESeq2","genus","t90_BL30_vs_BL15",0
"DESeq2","genus","Ctrl_D30_vs_D07",38
"DESeq2","genus","Ctrl_D90_vs_D07",29
"DESeq2","genus","Ctrl_D90_vs_D30",2
"DESeq2","genus","BL15_D30_vs_D07",7
"DESeq2","genus","BL15_D90_vs_D07",6
"DESeq2","genus","BL15_D90_vs_D30",1
"DESeq2","genus","BL30_D30_vs_D07",24
"DESeq2","genus","BL30_D90_vs_D07",9
"DESeq2","genus","BL30_D90_vs_D30",2
"DESeq2","genus","Hydrolysate_D30_vs_D07",25
"DESeq2","genus","Hydrolysate_D90_vs_D07",18
"DESeq2","genus","Hydrolysate_D90_vs_D30",1
"ALDEx2","asv","global_Hydrolysate_vs_Ctrl",0
"ALDEx2","asv","global_BL15_vs_Ctrl",0
"ALDEx2","asv","global_BL30_vs_Ctrl",0
"ALDEx2","asv","global_BL30_vs_BL15",0
"ALDEx2","asv","t7_Hydrolysate_vs_Ctrl",0
"ALDEx2","asv","t7_BL15_vs_Ctrl",0
"ALDEx2","asv","t7_BL30_vs_Ctrl",0
"ALDEx2","asv","t7_BL30_vs_BL15",0
"ALDEx2","asv","t30_Hydrolysate_vs_Ctrl",0
"ALDEx2","asv","t30_BL15_vs_Ctrl",0
"ALDEx2","asv","t30_BL30_vs_Ctrl",0
"ALDEx2","asv","t30_BL30_vs_BL15",0
"ALDEx2","asv","t90_Hydrolysate_vs_Ctrl",0
"ALDEx2","asv","t90_BL15_vs_Ctrl",0
"ALDEx2","asv","t90_BL30_vs_Ctrl",0
"ALDEx2","asv","t90_BL30_vs_BL15",0
"ALDEx2","asv","Ctrl_D90_vs_D07",1
"ALDEx2","asv","Ctrl_D90_vs_D30",1
"ALDEx2","asv","BL15_D30_vs_D07",0
"ALDEx2","asv","BL15_D90_vs_D07",1
"ALDEx2","asv","BL15_D90_vs_D30",1
"ALDEx2","asv","BL30_D90_vs_D30",2
"ALDEx2","asv","Hydrolysate_D30_vs_D07",0
"ALDEx2","asv","Hydrolysate_D90_vs_D07",1
"ALDEx2","asv","Hydrolysate_D90_vs_D30",1
"ALDEx2","genus","global_Hydrolysate_vs_Ctrl",0
"ALDEx2","genus","global_BL15_vs_Ctrl",0
"ALDEx2","genus","global_BL30_vs_Ctrl",0
"ALDEx2","genus","global_BL30_vs_BL15",0
"ALDEx2","genus","t7_Hydrolysate_vs_Ctrl",0
"ALDEx2","genus","t7_BL15_vs_Ctrl",0
"ALDEx2","genus","t7_BL30_vs_Ctrl",0
"ALDEx2","genus","t7_BL30_vs_BL15",0
"ALDEx2","genus","t30_Hydrolysate_vs_Ctrl",0
"ALDEx2","genus","t30_BL15_vs_Ctrl",0
"ALDEx2","genus","t30_BL30_vs_Ctrl",0
"ALDEx2","genus","t30_BL30_vs_BL15",0
"ALDEx2","genus","t90_Hydrolysate_vs_Ctrl",0
"ALDEx2","genus","t90_BL15_vs_Ctrl",0
"ALDEx2","genus","t90_BL30_vs_Ctrl",0
"ALDEx2","genus","t90_BL30_vs_BL15",0
"ALDEx2","genus","BL30_D90_vs_D30",1
"ALDEx2","genus","Hydrolysate_D30_vs_D07",0
"ALDEx2","genus","Hydrolysate_D90_vs_D07",1
"ALDEx2","genus","Hydrolysate_D90_vs_D30",1
